Camr_Nm,Species,Common,Cmr_S_D,Cmr_E_D,Date,Time
PU01C,blank,blank,12/30/2009,2/26/2010,NA,NA
PU01D,blank,blank,2/26/2010,5/13/2010,NA,NA
PU02C,blank,blank,2/26/2010,5/13/2010,NA,NA
PU03B,blank,blank,12/31/2009,1/20/2010,NA,NA
PU05D,blank,blank,3/2/2010,5/13/2010,NA,NA
PU06B,blank,blank,2/26/2010,5/15/2010,NA,NA
PU06D,blank,blank,1/3/2010,2/25/2010,NA,NA
PU07C,blank,blank,1/3/2010,2/27/2010,NA,NA
PU08B,blank,blank,12/29/2009,2/26/2010,NA,NA
PU08C,blank,blank,2/26/2010,5/13/2010,NA,NA
PU09A,blank,blank,12/29/2009,2/26/2010,NA,NA
PU09C,blank,blank,2/25/2010,5/12/2010,NA,NA
PU10B,blank,blank,12/30/2009,3/1/2010,NA,NA
PU10D,blank,blank,3/1/2010,5/14/2010,NA,NA
PU11A,blank,blank,2/27/2010,3/17/2010,NA,NA
PU11D,blank,blank,12/30/2009,2/27/2010,NA,NA
PU15C,blank,blank,2/24/2010,5/12/2010,NA,NA
PU15D,blank,blank,12/28/2009,2/24/2010,NA,NA
PU16A,blank,blank,2/24/2010,5/11/2010,NA,NA
PU16C,blank,blank,10/31/2009,2/24/2010,NA,NA
PU17C,blank,blank,2/24/2010,5/10/2010,NA,NA
PU20B,blank,blank,2/20/2010,2/23/2010,NA,NA
PU21D,blank,blank,2/23/2010,5/11/2010,NA,NA
PU22D,blank,blank,2/19/2010,5/6/2010,NA,NA
PU23B,blank,blank,2/23/2010,3/25/2010,NA,NA
PU23D,blank,blank,10/21/2009,12/14/2009,NA,NA
PU24A,blank,blank,10/30/2009,2/23/2010,NA,NA
PU24C,blank,blank,2/23/2010,4/30/2010,NA,NA
PU28A,blank,blank,9/15/2009,1/21/2010,NA,NA
PU28C,blank,blank,1/21/2010,4/6/2010,NA,NA
PU29A,blank,blank,1/20/2010,4/6/2010,NA,NA
PU30A,blank,blank,11/1/2009,1/21/2010,NA,NA
PU30D,blank,blank,2/18/2010,5/13/2010,NA,NA
PU31B,blank,blank,10/22/2009,2/20/2010,NA,NA
PU32B,blank,blank,2/21/2010,5/8/2010,NA,NA
PU33C,blank,blank,2/16/2010,5/8/2010,NA,NA
PU33D,blank,blank,10/17/2009,11/28/2009,NA,NA
PU34A,blank,blank,9/15/2009,1/21/2010,NA,NA
PU36D,blank,blank,1/22/2010,4/6/2010,NA,NA
PU37D,blank,blank,2/16/2010,5/8/2010,NA,NA
PU38B,blank,blank,2/17/2010,3/7/2010,NA,NA
PU38C,blank,blank,10/21/2009,2/17/2010,NA,NA
PU39D,blank,blank,2/16/2010,5/6/2010,NA,NA
PU40A,blank,blank,9/8/2009,1/20/2010,NA,NA
PU41B,blank,blank,1/20/2010,4/5/2010,NA,NA
PU41C,blank,blank,9/10/2009,1/20/2010,NA,NA
PU42B,blank,blank,1/21/2010,3/15/2010,NA,NA
PU43A,blank,blank,1/22/2010,4/6/2010,NA,NA
PU43C,blank,blank,9/14/2009,1/22/2010,NA,NA
PU44B,blank,blank,1/12/2010,4/3/2010,NA,NA
PU44D,blank,blank,9/5/2009,10/20/2009,NA,NA
PU47C,blank,blank,1/22/2010,4/7/2010,NA,NA
PU48B,blank,blank,1/12/2010,4/2/2010,NA,NA
PU49A,blank,blank,9/9/2009,1/13/2010,NA,NA
PU49B,blank,blank,1/13/2010,4/3/2010,NA,NA
PU50D,blank,blank,1/16/2010,4/5/2010,NA,NA
PU51B,blank,blank,9/10/2009,1/17/2010,NA,NA
PU51D,blank,blank,1/17/2010,4/4/2010,NA,NA
PU52A,blank,blank,1/11/2010,4/5/2010,NA,NA
PU52B,blank,blank,9/2/2009,9/7/2009,NA,NA
PU57B,blank,blank,8/27/2009,1/19/2010,NA,NA
PU57D,blank,blank,1/19/2010,3/29/2010,NA,NA
PU58A,blank,blank,1/18/2010,4/2/2010,NA,NA
PU58D,blank,blank,9/3/2009,9/10/2009,NA,NA
PU59B,blank,blank,1/18/2010,4/2/2010,NA,NA
PU65C,blank,blank,1/9/2010,3/30/2010,NA,NA
PU66D,blank,blank,1/16/2010,3/30/2010,NA,NA
TU21C,blank,blank,12/31/2009,4/10/2010,NA,NA
TU21C,blank,blank,4/10/2010,5/21/2010,NA,NA
TU22D,blank,blank,4/9/2010,5/16/2010,NA,NA
TU24C,blank,blank,1/1/2010,2/16/2010,NA,NA
TU24C,blank,blank,2/16/2010,4/9/2010,NA,NA
TU24C,blank,blank,4/9/2010,5/16/2010,NA,NA
TU36A,blank,blank,9/17/2009,9/20/2009,NA,NA
TU36A,blank,blank,2/19/2010,4/6/2010,NA,NA
TU36A,blank,blank,4/6/2010,5/21/2010,NA,NA
TU36D,blank,blank,9/17/2009,12/29/2009,NA,NA
TU36D,blank,blank,12/29/2009,1/21/2010,NA,NA
TU36D,blank,blank,2/19/2010,4/6/2010,NA,NA
TU36D,blank,blank,4/6/2010,5/21/2010,NA,NA
TU39A,blank,blank,12/31/2009,2/15/2010,NA,NA
TU39A,blank,blank,2/15/2010,2/16/2010,NA,NA
TU39A,blank,blank,4/9/2010,5/16/2010,NA,NA
TU40B,blank,blank,9/16/2009,12/28/2009,NA,NA
TU42A,blank,blank,9/17/2009,12/29/2009,NA,NA
TU42A,blank,blank,12/29/2009,2/19/2010,NA,NA
TU42A,blank,blank,2/19/2010,4/7/2010,NA,NA
TU42A,blank,blank,4/7/2010,5/21/2010,NA,NA
TU43B,blank,blank,2/15/2010,4/7/2010,NA,NA
TU43B,blank,blank,4/7/2010,5/17/2010,NA,NA
TU44C,blank,blank,2/18/2010,4/3/2010,NA,NA
TU44C,blank,blank,4/3/2010,5/2/2010,NA,NA
TU47D,blank,blank,10/16/2009,11/5/2009,NA,NA
TU47D,blank,blank,1/22/2010,4/6/2010,NA,NA
TU47D,blank,blank,4/6/2010,5/17/2010,NA,NA
TU48D,blank,blank,1/15/2010,2/18/2010,NA,NA
TU48D,blank,blank,2/18/2010,4/2/2010,NA,NA
TU50D,blank,blank,9/22/2009,12/6/2009,NA,NA
TU50D,blank,blank,4/5/2010,5/22/2010,NA,NA
TU53D,blank,blank,10/13/2009,11/2/2009,NA,NA
TU53D,blank,blank,2/18/2010,3/31/2010,NA,NA
TU58C,blank,blank,10/13/2009,1/15/2010,NA,NA
TU58C,blank,blank,1/15/2010,3/28/2010,NA,NA
TU58C,blank,blank,3/28/2010,5/20/2010,NA,NA
TU61A,blank,blank,4/1/2010,5/20/2010,NA,NA
TU66B,blank,blank,1/16/2010,3/30/2010,NA,NA
TU66B,blank,blank,3/30/2010,5/7/2010,NA,NA
TU71A,blank,blank,9/15/2009,12/28/2009,NA,NA
TU71A,blank,blank,12/28/2009,2/17/2010,NA,NA
TU71A,blank,blank,2/17/2010,3/26/2010,NA,NA
TU71A,blank,blank,4/8/2010,5/21/2010,NA,NA
TU73B,blank,blank,9/20/2009,12/30/2009,NA,NA
TU73B,blank,blank,12/30/2009,3/2/2010,NA,NA
TU73B,blank,blank,3/2/2010,5/20/2010,NA,NA
TU76A,blank,blank,1/11/2010,5/22/2010,NA,NA
TU82D,blank,blank,10/13/2009,1/12/2010,NA,NA
TU82D,blank,blank,1/12/2010,4/6/2010,NA,NA
TU82D,blank,blank,4/6/2010,5/21/2010,NA,NA
PB015A,blank,blank,12/23/2010,3/19/2011,NA,NA
PB016A,blank,blank,12/23/2010,3/19/2011,NA,NA
PB016B,blank,blank,9/23/2010,12/23/2010,NA,NA
PB027C,blank,blank,1/4/2011,3/31/2011,NA,NA
PB027D,blank,blank,9/25/2010,10/3/2010,NA,NA
PB028C,blank,blank,1/4/2011,3/29/2011,NA,NA
PB028D,blank,blank,9/24/2010,1/4/2011,NA,NA
PB029B,blank,blank,1/2/2011,3/20/2011,NA,NA
PB029C,blank,blank,9/28/2010,1/2/2011,NA,NA
PB030B,blank,blank,9/26/2010,12/25/2010,NA,NA
PB031B,blank,blank,9/29/2010,12/25/2010,NA,NA
PB032B,blank,blank,12/22/2010,3/19/2011,NA,NA
PB034D,blank,blank,12/30/2010,3/29/2011,NA,NA
PB039A,blank,blank,1/4/2011,3/31/2011,NA,NA
PB039B,blank,blank,9/24/2010,1/4/2011,NA,NA
PB040A,blank,blank,1/4/2011,3/29/2011,NA,NA
PB040D,blank,blank,9/24/2010,9/26/2010,NA,NA
PB041C,blank,blank,9/28/2010,1/2/2011,NA,NA
PB042B,blank,blank,9/27/2010,12/25/2010,NA,NA
PB042C,blank,blank,12/25/2010,3/21/2011,NA,NA
PB043D,blank,blank,9/28/2010,12/25/2010,NA,NA
PB044B,blank,blank,12/22/2010,3/19/2011,NA,NA
PB044C,blank,blank,9/24/2010,12/22/2010,NA,NA
PB045D,blank,blank,12/22/2010,3/9/2011,NA,NA
PB046C,blank,blank,10/4/2010,12/10/2010,NA,NA
PB047B,blank,blank,12/30/2010,3/29/2011,NA,NA
PB053A,blank,blank,1/2/2011,3/27/2011,NA,NA
PB058A,blank,blank,12/27/2010,3/26/2011,NA,NA
PB064B,blank,blank,10/7/2010,11/17/2010,NA,NA
PB068C,blank,blank,12/25/2010,12/26/2010,NA,NA
PB069A,blank,blank,9/28/2010,12/25/2010,NA,NA
PB069B,blank,blank,12/25/2010,3/8/2011,NA,NA
PB070C,blank,blank,12/28/2010,3/25/2011,NA,NA
PB075C,blank,blank,1/12/2011,2/20/2011,NA,NA
PB076A,blank,blank,1/12/2011,4/13/2011,NA,NA
PB076D,blank,blank,10/15/2010,1/12/2011,NA,NA
PB077B,blank,blank,10/16/2010,1/12/2011,NA,NA
PB079A,blank,blank,10/22/2010,11/4/2010,NA,NA
PB081B,blank,blank,1/18/2011,4/14/2011,NA,NA
PB082A,blank,blank,10/19/2010,1/22/2011,NA,NA
PB082B,blank,blank,1/22/2011,3/1/2011,NA,NA
PB083B,blank,blank,1/21/2011,4/14/2011,NA,NA
PB087A,blank,blank,1/13/2011,4/13/2011,NA,NA
PB087C,blank,blank,10/15/2010,1/13/2011,NA,NA
PB088A,blank,blank,1/13/2011,4/13/2011,NA,NA
PB088B,blank,blank,10/15/2010,1/12/2011,NA,NA
PB089A,blank,blank,10/16/2010,1/12/2011,NA,NA
PB089B,blank,blank,1/12/2011,4/15/2011,NA,NA
PB091A,blank,blank,1/16/2011,4/16/2011,NA,NA
PB091C,blank,blank,10/22/2010,12/19/2010,NA,NA
PB092C,blank,blank,10/16/2010,1/18/2011,NA,NA
PB094D,blank,blank,10/19/2010,11/1/2010,NA,NA
PB100A,blank,blank,10/20/2010,1/20/2011,NA,NA
PB100B,blank,blank,1/20/2011,4/17/2011,NA,NA
PB102A,blank,blank,10/21/2010,1/17/2011,NA,NA
PB102D,blank,blank,1/18/2011,4/19/2011,NA,NA
PB103B,blank,blank,1/18/2011,4/19/2011,NA,NA
PB103D,blank,blank,10/22/2010,1/18/2011,NA,NA
PB104D,blank,blank,1/15/2011,4/10/2011,NA,NA
PB106B,blank,blank,10/19/2010,1/24/2011,NA,NA
PB106C,blank,blank,1/24/2011,4/10/2011,NA,NA
PB107C,blank,blank,10/22/2010,1/23/2011,NA,NA
PB112A,blank,blank,10/24/2010,1/19/2011,NA,NA
PB112C,blank,blank,1/19/2011,4/19/2011,NA,NA
PB113A,blank,blank,10/24/2010,12/7/2010,NA,NA
PB113D,blank,blank,1/19/2011,4/19/2011,NA,NA
PB114B,blank,blank,1/18/2011,4/20/2011,NA,NA
PB115B,blank,blank,1/18/2011,3/23/2011,NA,NA
PB116A,blank,blank,1/15/2011,4/10/2011,NA,NA
PB117B,blank,blank,10/14/2010,12/27/2010,NA,NA
PB117D,blank,blank,1/16/2011,4/10/2011,NA,NA
PB118D,blank,blank,1/24/2011,3/12/2011,NA,NA
TB015B,blank,blank,8/11/2010,9/23/2010,NA,NA
TB015B,blank,blank,9/23/2010,12/23/2010,NA,NA
TB015B,blank,blank,12/23/2010,3/19/2011,NA,NA
TB019D,blank,blank,8/14/2010,10/5/2010,NA,NA
TB019D,blank,blank,10/5/2010,11/13/2010,NA,NA
TB019D,blank,blank,11/19/2010,2/17/2011,NA,NA
TB019D,blank,blank,2/17/2011,4/1/2011,NA,NA
TB024A,blank,blank,8/18/2010,11/18/2010,NA,NA
TB024A,blank,blank,11/18/2010,2/18/2011,NA,NA
TB024A,blank,blank,2/18/2011,3/14/2011,NA,NA
TB037B,blank,blank,8/11/2010,11/21/2010,NA,NA
TB037B,blank,blank,11/21/2010,2/26/2011,NA,NA
TB037B,blank,blank,2/26/2011,4/1/2011,NA,NA
TB090C,blank,blank,8/16/2010,10/20/2010,NA,NA
TB090C,blank,blank,10/20/2010,1/15/2011,NA,NA
TB090C,blank,blank,1/15/2011,4/15/2011,NA,NA
TB101C,blank,blank,8/16/2010,10/20/2010,NA,NA
TB101C,blank,blank,10/20/2010,1/20/2011,NA,NA
TB101C,blank,blank,1/20/2011,4/17/2011,NA,NA
TB103C,blank,blank,10/22/2010,1/18/2011,NA,NA
TB103C,blank,blank,1/18/2011,4/19/2011,NA,NA
TB122A,blank,blank,8/18/2010,11/22/2010,NA,NA
TB122A,blank,blank,11/22/2010,2/19/2011,NA,NA
TB122A,blank,blank,2/19/2011,4/21/2011,NA,NA
TB145D,blank,blank,8/11/2010,11/21/2010,NA,NA
TB145D,blank,blank,11/21/2010,2/19/2011,NA,NA
TB145D,blank,blank,2/19/2011,4/1/2011,NA,NA
TB146B,blank,blank,8/18/2010,11/22/2010,NA,NA
TB146B,blank,blank,11/22/2010,2/19/2011,NA,NA
TB146B,blank,blank,2/19/2011,4/21/2011,NA,NA
