Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM Zone,Cmr_S_D,Cmr_E_D,Date,Time
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,1,Yes,-5.269699444,-79.33121716,684940,9417276,17,6/2/2016,9/22/2016,6/13/2016,13:40:39
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,1,Yes,-5.269699444,-79.33121716,684940,9417276,17,6/2/2016,9/22/2016,6/13/2016,13:40:47
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,2,No,-5.27617426,-79.32122273,686046,9416557,17,6/2/2016,9/22/2016,7/11/2016,13:30:09
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,3,Yes,-5.279461488,-79.31628846,686592,9416192,17,6/2/2016,9/22/2016,6/7/2016,9:50:07
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,3,Yes,-5.279461488,-79.31628846,686592,9416192,17,6/2/2016,9/22/2016,6/26/2016,13:16:04
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,3,Yes,-5.279461488,-79.31628846,686592,9416192,17,6/2/2016,9/22/2016,6/26/2016,13:17:40
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,3,Yes,-5.279461488,-79.31628846,686592,9416192,17,6/2/2016,9/22/2016,7/3/2016,23:06:43
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,6/5/2016,14:18:18
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,6/25/2016,16:43:22
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,7/14/2016,5:35:28
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,7/22/2016,2:08:45
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,8/6/2016,17:55:15
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,8/9/2016,10:33:16
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,8/11/2016,11:59:02
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,8/12/2016,19:35:35
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,8/15/2016,10:08:10
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,7,No,-5.262308841,-79.30012458,688389,9418084,17,6/3/2016,8/27/2016,6/28/2016,4:02:21
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,7,Yes,-5.262308841,-79.30012458,688389,9418084,17,6/3/2016,8/27/2016,8/11/2016,5:38:13
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,8,No,-5.253992402,-79.29450935,689014,9419002,17,6/3/2016,9/25/2016,6/28/2016,3:39:58
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,8,No,-5.253992402,-79.29450935,689014,9419002,17,6/3/2016,9/25/2016,8/11/2016,5:38:32
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,8,No,-5.253992402,-79.29450935,689014,9419002,17,6/3/2016,9/25/2016,8/17/2016,22:17:49
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,9,Yes,-5.245764302,-79.29143774,689357,9419911,17,6/3/2016,9/25/2016,6/28/2016,3:13:16
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,9,Yes,-5.245764302,-79.29143774,689357,9419911,17,6/3/2016,9/25/2016,8/11/2016,5:12:35
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,9,Yes,-5.245764302,-79.29143774,689357,9419911,17,6/3/2016,9/25/2016,9/19/2016,18:29:15
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,12,Yes,-5.240486786,-79.29598026,688855,9420496,17,6/3/2016,9/25/2016,6/26/2016,16:14:44
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,12,Yes,-5.240486786,-79.29598026,688855,9420496,17,6/3/2016,9/25/2016,8/6/2016,21:29:33
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,12,Yes,-5.240486786,-79.29598026,688855,9420496,17,6/3/2016,9/25/2016,9/10/2016,14:29:29
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,6/10/2016,19:42:48
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,7/3/2016,23:41:46
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,7/5/2016,0:56:06
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,7/23/2016,20:49:03
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,7/25/2016,1:03:06
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,8/6/2016,19:50:53
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,8/15/2016,21:14:40
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,8/28/2016,3:29:47
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,9/8/2016,8:25:36
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,14,Yes,-5.234479231,-79.2716873,691550,9421153,17,6/3/2016,9/24/2016,9/9/2016,22:57:27
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,19,No,-5.218719118,-79.26874494,691881,9422895,17,6/4/2016,7/27/2016,6/20/2016,17:47:39
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,19,No,-5.218719118,-79.26874494,691881,9422895,17,6/4/2016,7/27/2016,7/5/2016,10:20:40
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,19,No,-5.218719118,-79.26874494,691881,9422895,17,6/4/2016,7/27/2016,7/14/2016,18:52:40
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,20,Yes,-5.214077594,-79.26447329,692356,9423407,17,6/4/2016,9/24/2016,7/5/2016,15:59:43
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,22,No,-5.218860431,-79.28730745,689823,9422885,17,6/4/2016,9/24/2016,6/23/2016,17:41:36
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,24,Yes,-5.214192076,-79.27650534,691022,9423398,17,6/4/2016,9/24/2016,6/19/2016,19:53:45
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,26,No,-5.271277899,-79.27016965,691707,9417083,17,6/5/2016,9/25/2016,7/25/2016,16:43:55
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,28,Yes,-5.23216291,-79.15082911,704950,9421371,17,6/7/2016,9/26/2016,6/20/2016,4:47:54
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,28,Yes,-5.23216291,-79.15082911,704950,9421371,17,6/7/2016,9/26/2016,7/1/2016,16:40:31
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,28,Yes,-5.23216291,-79.15082911,704950,9421371,17,6/7/2016,9/26/2016,7/8/2016,4:15:26
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,28,Yes,-5.23216291,-79.15082911,704950,9421371,17,6/7/2016,9/26/2016,8/27/2016,7:12:43
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,29,No,-5.238825898,-79.1474723,705320,9420633,17,6/7/2016,9/26/2016,7/4/2016,2:16:59
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,32,Yes,-5.201998612,-79.13225719,707019,9424701,17,6/11/2016,10/2/2016,8/14/2016,18:26:46
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,32,Yes,-5.201998612,-79.13225719,707019,9424701,17,6/11/2016,10/2/2016,9/24/2016,18:05:31
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,34,Yes,-5.208393593,-79.15453346,704547,9424001,17,6/10/2016,10/2/2016,7/3/2016,7:36:43
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,34,Yes,-5.208393593,-79.15453346,704547,9424001,17,6/10/2016,10/2/2016,7/4/2016,21:34:52
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,34,Yes,-5.208393593,-79.15453346,704547,9424001,17,6/10/2016,10/2/2016,7/16/2016,16:48:53
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,34,Yes,-5.208393593,-79.15453346,704547,9424001,17,6/10/2016,10/2/2016,7/27/2016,19:20:34
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,34,Yes,-5.208393593,-79.15453346,704547,9424001,17,6/10/2016,10/2/2016,9/4/2016,18:15:23
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,35,Yes,-5.215998607,-79.1272824,707566,9423151,17,6/10/2016,8/29/2106,6/13/2016,22:07:04
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,35,Yes,-5.215998607,-79.1272824,707566,9423151,17,6/10/2016,8/29/2106,7/1/2016,1:05:03
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,37,Yes,-5.217644798,-79.14270929,705855,9422974,17,6/10/2016,10/2/2016,6/25/2016,20:23:34
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,37,Yes,-5.217644798,-79.14270929,705855,9422974,17,6/10/2016,10/2/2016,7/3/2016,14:05:37
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,37,Yes,-5.217644798,-79.14270929,705855,9422974,17,6/10/2016,10/2/2016,7/12/2016,7:55:12
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,37,Yes,-5.217644798,-79.14270929,705855,9422974,17,6/10/2016,10/2/2016,7/15/2016,17:44:46
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,37,Yes,-5.217644798,-79.14270929,705855,9422974,17,6/10/2016,10/2/2016,8/3/2016,22:16:18
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,37,Yes,-5.217644798,-79.14270929,705855,9422974,17,6/10/2016,10/2/2016,9/9/2016,20:29:43
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,37,Yes,-5.217644798,-79.14270929,705855,9422974,17,6/10/2016,10/2/2016,9/14/2016,18:29:51
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,37,Yes,-5.217644798,-79.14270929,705855,9422974,17,6/10/2016,10/2/2016,9/24/2016,18:52:49
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,38,No,-5.217687278,-79.15097979,704938,9422972,17,6/10/2016,10/2/2016,6/22/2016,2:52:25
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,38,No,-5.217687278,-79.15097979,704938,9422972,17,6/10/2016,10/2/2016,6/29/2016,4:19:28
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,38,No,-5.217687278,-79.15097979,704938,9422972,17,6/10/2016,10/2/2016,7/3/2016,13:31:19
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,38,No,-5.217687278,-79.15097979,704938,9422972,17,6/10/2016,10/2/2016,8/14/2016,16:44:56
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,38,No,-5.217687278,-79.15097979,704938,9422972,17,6/10/2016,10/2/2016,8/17/2016,7:42:40
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,38,No,-5.217687278,-79.15097979,704938,9422972,17,6/10/2016,10/2/2016,8/19/2016,1:34:52
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,38,No,-5.217687278,-79.15097979,704938,9422972,17,6/10/2016,10/2/2016,9/28/2016,8:55:01
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,38,No,-5.217687278,-79.15097979,704938,9422972,17,6/10/2016,10/2/2016,10/1/2016,4:10:27
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016,6/14/2016,3:27:18
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016,6/19/2016,23:52:05
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016,6/23/2016,19:40:53
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016,8/13/2016,21:22:38
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016,9/6/2016,22:00:32
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016,9/8/2016,2:56:26
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016,9/20/2016,21:15:15
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016,9/25/2016,21:31:10
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016,9/30/2016,23:38:48
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,43,Yes,-5.197193611,-79.14937118,705123,9425238,17,6/17/2016,10/9/2016,7/10/2016,22:55:02
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,43,Yes,-5.197193611,-79.14937118,705123,9425238,17,6/17/2016,10/9/2016,9/13/2016,19:43:46
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,48,Yes,-5.169891165,-79.19787192,699754,9428273,17,6/15/2016,10/7/2016,7/18/2016,18:05:56
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,48,Yes,-5.169891165,-79.19787192,699754,9428273,17,6/15/2016,10/7/2016,8/10/2016,6:25:06
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,48,Yes,-5.169891165,-79.19787192,699754,9428273,17,6/15/2016,10/7/2016,9/7/2016,13:19:58
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,48,Yes,-5.169891165,-79.19787192,699754,9428273,17,6/15/2016,10/7/2016,9/22/2016,18:08:50
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,49,Yes,-5.199248077,-79.16550921,703333,9425016,17,6/15/2016,10/7/2016,9/17/2016,6:47:07
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,53,No,-5.19793155,-79.17923101,701812,9425166,17,6/16/2016,10/8/2016,8/11/2016,1:06:35
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,53,No,-5.19793155,-79.17923101,701812,9425166,17,6/16/2016,10/8/2016,8/17/2016,6:20:40
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,53,No,-5.19793155,-79.17923101,701812,9425166,17,6/16/2016,10/8/2016,9/3/2016,11:42:08
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,53,No,-5.19793155,-79.17923101,701812,9425166,17,6/16/2016,10/8/2016,9/23/2016,2:40:28
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,79,No,-5.115628181,-79.22340145,696940,9434282,17,5/30/2016,10/14/2016,9/7/2016,15:58:23
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,87,Yes,-5.120114646,-79.22393918,696879,9433786,17,5/30/2016,10/14/2016,6/15/2016,18:38:35
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,87,Yes,-5.120114646,-79.22393918,696879,9433786,17,5/30/2016,10/14/2016,9/4/2016,1:07:25