,Camr_Nm,Latitud,Longitd,Elev,HFI,d.Road,Precip,NDVI,AvgMinTemp,AvgMaxTemp
1,Tabaconas Namballe National Sanctuary 1,-5.269699444,-79.33121716,2882,4,5462.189186,102.6666667,0.35434568,10.2,20.8
2,Tabaconas Namballe National Sanctuary 2,-5.27617426,-79.32122273,2308,4,4400.535862,97.83333333,0.38222504,10.2,20.8
3,Tabaconas Namballe National Sanctuary 3,-5.279461488,-79.31628846,2049,4,3757.650381,92.25,0.38586283,10.2,20.8
4,Tabaconas Namballe National Sanctuary 4,-5.280475697,-79.3002195,2190,4,2731.383495,98,0.35291252,10.2,20.8
5,Tabaconas Namballe National Sanctuary 5,-5.268829266,-79.30701673,2252,4,4198.482436,108.3333333,0.3410522,10.2,20.8
6,Tabaconas Namballe National Sanctuary 6,-5.260095915,-79.31102746,2184,4,5260.628873,103.75,0.33413792,10.2,20.8
7,Tabaconas Namballe National Sanctuary 7,-5.262308841,-79.30012458,2639,4,4677.760543,111.25,0.27896169,10.2,20.8
8,Tabaconas Namballe National Sanctuary 8,-5.253992402,-79.29450935,2943,4,5501.900206,99.41666667,0.32035619,10.2,20.8
9,Tabaconas Namballe National Sanctuary 9,-5.245764302,-79.29143774,3255,4,6397.916274,88.33333333,0.25710812,5.4,16
10,Tabaconas Namballe National Sanctuary 10,-5.246732387,-79.28173827,3678,4,6367.851044,89.83333333,0.17211752,5.4,16
11,Tabaconas Namballe National Sanctuary 11,-5.25220165,-79.26812063,3427,4,6207.785457,90.91666667,0.21484914,8,18.6
12,Tabaconas Namballe National Sanctuary 12,-5.240486786,-79.29598026,3086,4,7003.459929,89.25,0.27496091,8.4,18.8
13,Tabaconas Namballe National Sanctuary 13,-5.23884031,-79.28578285,3222,4,7183.875379,87.58333333,0.24408495,5.4,16
14,Tabaconas Namballe National Sanctuary 14,-5.234479231,-79.2716873,3435,4,7929.319861,88.83333333,0.12793307,5.4,16
15,Tabaconas Namballe National Sanctuary 15,-5.229504974,-79.26481871,3504,4,8680.528384,91.41666667,0.19589272,5.4,16
16,Tabaconas Namballe National Sanctuary 16,-5.232736532,-79.29238417,3405,4,7839.94549,88.5,0.21054323,8.4,18.8
17,Tabaconas Namballe National Sanctuary 17,-5.230576073,-79.28602184,3233,4,8093.765166,87.83333333,0.2143323,5.4,16
18,Tabaconas Namballe National Sanctuary 18,-5.224039784,-79.27336658,3270,4,9006.26306,89.08333333,0.21350124,5.4,16
19,Tabaconas Namballe National Sanctuary 19,-5.218719118,-79.26874494,3370,4,9697.387215,89.08333333,0.19012325,5.4,16
20,Tabaconas Namballe National Sanctuary 20,-5.214077594,-79.26447329,3559,4,10318.03423,91.66666667,0.17341278,5.4,16
21,Tabaconas Namballe National Sanctuary 21,-5.224177049,-79.29379645,3557,4,8790.521017,87.91666667,0.17737296,8.4,18.8
22,Tabaconas Namballe National Sanctuary 22,-5.218860431,-79.28730745,3428,4,9380.394001,88.66666667,0.25762081,5.4,16
23,Tabaconas Namballe National Sanctuary 23,-5.210367385,-79.28322647,3490,4,10344.99983,89.5,0.18001156,5.4,16
24,Tabaconas Namballe National Sanctuary 24,-5.214192076,-79.27650534,3364,4,10012.71324,89.5,0.20701148,5.4,16
25,Tabaconas Namballe National Sanctuary 25,-5.262446002,-79.26784876,3577,4,5203.568755,91.08333333,0.13784988,8,18.6
26,Tabaconas Namballe National Sanctuary 26,-5.271277899,-79.27016965,3099,4,4231.134222,92.5,0.39202482,8,18.6
27,Tabaconas Namballe National Sanctuary 27,-5.278382506,-79.27242319,2667,4,3439.374042,107.9166667,0.35532081,8,18.6
28,Tabaconas Namballe National Sanctuary 28,-5.23216291,-79.15082911,2240,4,3108.738725,103.75,0.3437255,11.4,22.4
29,Tabaconas Namballe National Sanctuary 29,-5.238825898,-79.1474723,2281,4,2423.709908,111.3333333,0.42427522,11.4,22.4
30,Tabaconas Namballe National Sanctuary 30,-5.202551568,-79.11451542,2200,4,2423.737954,105.3333333,0.40592831,13.2,24.4
31,Tabaconas Namballe National Sanctuary 31,-5.20508326,-79.12056857,2537,4,2602.444757,114.0833333,0.32329887,13.2,24.4
32,Tabaconas Namballe National Sanctuary 32,-5.201998612,-79.13225719,2141,4,3746.721931,110.1666667,0.39706987,12.4,23.6
33,Tabaconas Namballe National Sanctuary 34,-5.208393593,-79.15453346,2050,4,5094.008286,99.66666667,0.34099871,11.4,22.4
34,Tabaconas Namballe National Sanctuary 35,-5.215998607,-79.1272824,2513,4,2354.877211,114.75,0.32124332,11.4,22.4
35,Tabaconas Namballe National Sanctuary 36,-5.216021512,-79.13498465,2364,4,3126.996393,110.3333333,0.33887872,11.4,22.4
36,Tabaconas Namballe National Sanctuary 37,-5.217644798,-79.14270929,2158,4,3489.691528,105.1666667,0.33302614,11.4,22.4
37,Tabaconas Namballe National Sanctuary 38,-5.217687278,-79.15097979,2036,4,4065.307726,100.3333333,0.40559933,11.4,22.4
38,Tabaconas Namballe National Sanctuary 39,-5.224253876,-79.15786937,1972,4,4211.24639,100.3333333,0.32155967,11.4,22.4
39,Tabaconas Namballe National Sanctuary 40,-5.226599344,-79.12551924,2290,4,1853.907531,113.5,0.38461539,11.4,22.4
40,Tabaconas Namballe National Sanctuary 41,-5.234688909,-79.11855027,2321,4,751.059027,105.8333333,0.38157946,12.2,23.2
41,Tabaconas Namballe National Sanctuary 42,-5.233219297,-79.13506908,2521,4,1605.07219,114.0833333,0.38044742,11.4,22.4
42,Tabaconas Namballe National Sanctuary 43,-5.197193611,-79.14937118,1848,4,5444.722368,96.75,0.34099209,12.4,23.6
43,Tabaconas Namballe National Sanctuary 45,-5.188079286,-79.16483803,1615,4,6502.632373,86.16666667,0.3519924,12.4,23.6
44,Tabaconas Namballe National Sanctuary 46,-5.1813601,-79.17386723,2059,4,6675.700185,94.33333333,0.36474118,11,21.8
45,Tabaconas Namballe National Sanctuary 47,-5.177325863,-79.18592794,2373,4,7427.608796,113.4166667,0.36001894,11,21.8
46,Tabaconas Namballe National Sanctuary 48,-5.169891165,-79.19787192,2870,4,7636.452708,109.1666667,0.30362695,11,21.8
47,Tabaconas Namballe National Sanctuary 49,-5.199248077,-79.16550921,1957,4,6654.858929,89.33333333,0.2963793,12.4,23.6
48,Tabaconas Namballe National Sanctuary 50,-5.192889188,-79.17092095,1882,4,7321.724733,95.08333333,0.44831547,11,21.8
49,Tabaconas Namballe National Sanctuary 51,-5.187355093,-79.1801813,1896,4,7639.743543,94.33333333,0.39996314,11,21.8
50,Tabaconas Namballe National Sanctuary 52,-5.204350913,-79.17281797,2062,4,6847.198867,96.5,0.39194581,11,21.8
51,Tabaconas Namballe National Sanctuary 53,-5.19793155,-79.17923101,2284,4,7848.447204,103.75,0.32993427,11,21.8
52,Tabaconas Namballe National Sanctuary 54,-5.191820176,-79.18587754,2022,4,8437.269177,106.6666667,0.39713955,11,21.8
53,Tabaconas Namballe National Sanctuary 55,-5.211270278,-79.18608339,2576,4,7640.100159,111.9166667,0.34773219,10.4,21.2
54,Tabaconas Namballe National Sanctuary 56,-5.215958834,-79.19401603,2975,4,8112.716467,104.4166667,0.26428306,10.4,21.2
55,Tabaconas Namballe National Sanctuary 57,-5.220790006,-79.19809707,3159,4,8062.530011,99.33333333,0.26747814,10.4,21.2
56,Tabaconas Namballe National Sanctuary 58,-5.216299505,-79.21196382,3050,4,8803.009794,103.1666667,0.24373037,8.4,19
57,Tabaconas Namballe National Sanctuary 59,-5.096529853,-79.20350658,1850,4,4184.327502,90.66666667,0.33113903,13.4,25
58,Tabaconas Namballe National Sanctuary 60,-5.087966014,-79.20643405,2179,4,4752.800571,100.5833333,0.40330762,13.4,25
59,Tabaconas Namballe National Sanctuary 61,-5.086595742,-79.21443653,2306,4,5645.104645,105.0833333,0.35999054,11.4,22.4
60,Tabaconas Namballe National Sanctuary 62,-5.084523969,-79.22385671,2476,4,6708.82822,110.75,0.36790219,11.4,22.4
61,Tabaconas Namballe National Sanctuary 63,-5.08313616,-79.2321478,2730,4,7630.949608,118,0.34508714,8.4,18.8
62,Tabaconas Namballe National Sanctuary 64,-5.07994864,-79.24038064,2936,4,8087.01105,106,0.28062639,8.4,18.8
63,Tabaconas Namballe National Sanctuary 65,-5.072049026,-79.24163747,3053,4,7311.89923,99.66666667,0.31142476,8.4,18.8
64,Tabaconas Namballe National Sanctuary 66,-5.062492595,-79.24214124,3381,4,6363.203795,91.25,0.27210948,8.4,18.8
65,Tabaconas Namballe National Sanctuary 67,-5.100086416,-79.19811306,1732,4,3533.222,82.08333333,0.38099515,13.4,25
66,Tabaconas Namballe National Sanctuary 68,-5.095115424,-79.21511641,1687,4,5478.730206,85.66666667,0.43401614,11.4,22.4
67,Tabaconas Namballe National Sanctuary 69,-5.096575533,-79.22320141,1760,4,6341.517527,88.16666667,0.41031784,11.4,22.4
68,Tabaconas Namballe National Sanctuary 70,-5.099199658,-79.23371813,2052,4,7475.133511,111.75,0.43612123,11.4,22.4
69,Tabaconas Namballe National Sanctuary 71,-5.100366484,-79.24044237,2153,4,8212.436843,90.08333333,0.39166635,11.4,22.4
70,Tabaconas Namballe National Sanctuary 72,-5.10045177,-79.24517661,1959,4,8736.489286,93,0.33428499,11.4,22.4
71,Tabaconas Namballe National Sanctuary 73,-5.106494356,-79.20674336,1654,4,4477.489192,82.41666667,0.40066946,13.4,25
72,Tabaconas Namballe National Sanctuary 74,-5.106007108,-79.21359835,1962,4,5233.357265,87,0.35446507,11.4,22.4
73,Tabaconas Namballe National Sanctuary 75,-5.110176939,-79.23039648,2175,4,7125.189208,108.0833333,0.40166512,11.4,22.4
74,Tabaconas Namballe National Sanctuary 76,-5.116252076,-79.19749976,1972,4,3627.755266,86.75,0.38193509,13.4,25
75,Tabaconas Namballe National Sanctuary 77,-5.112243748,-79.20945983,1879,4,4859.244949,90.91666667,0.40523088,11.4,22.4
76,Tabaconas Namballe National Sanctuary 78,-5.115726356,-79.21318364,1919,4,5325.011765,90.91666667,0.38622037,11.4,22.4
77,Tabaconas Namballe National Sanctuary 79,-5.115628181,-79.22340145,2489,4,6446.20557,108.8333333,0.33235034,11.4,22.4
78,Tabaconas Namballe National Sanctuary 80,-5.115177677,-79.23051802,2307,4,7214.183601,108.0833333,0.29392105,11.4,22.4
79,Tabaconas Namballe National Sanctuary 81,-5.123134093,-79.19783219,2303,4,3910.713852,101.75,0.3889538,13.4,25
80,Tabaconas Namballe National Sanctuary 82,-5.128623044,-79.19796109,2508,4,4209.389732,115.0833333,0.34054989,11.4,22.4
81,Tabaconas Namballe National Sanctuary 83,-5.13153244,-79.20360738,2784,4,4911.332597,110.8333333,0.26412651,11.4,22.4
82,Tabaconas Namballe National Sanctuary 84,-5.139042876,-79.20232378,2435,4,5277.482887,114.25,0.31819341,11.4,22.4
83,Tabaconas Namballe National Sanctuary 85,-5.120040026,-79.20690406,2177,4,4742.380328,105.75,0.37537122,13.4,25
84,Tabaconas Namballe National Sanctuary 86,-5.120973176,-79.21077927,2145,4,5184.026765,107.9166667,0.3306706,11.4,22.4
85,Tabaconas Namballe National Sanctuary 87,-5.120114646,-79.22393918,2725,4,6583.438588,112.3333333,0.42916623,11.4,22.4