"station","species","date","hour"
"Tabaconas Namballe National Sanctuary 1","Tapirus pinchaque","6/13/2016","13:40:39"
"Tabaconas Namballe National Sanctuary 2","Tapirus pinchaque","7/11/2016","13:30:09"
"Tabaconas Namballe National Sanctuary 3","Tapirus pinchaque","6/7/2016","9:50:07"
"Tabaconas Namballe National Sanctuary 3","Tapirus pinchaque","6/26/2016","13:16:04"
"Tabaconas Namballe National Sanctuary 3","Tapirus pinchaque","7/3/2016","23:06:43"
"Tabaconas Namballe National Sanctuary 6","Tapirus pinchaque","6/5/2016","14:18:18"
"Tabaconas Namballe National Sanctuary 6","Tapirus pinchaque","6/25/2016","16:43:22"
"Tabaconas Namballe National Sanctuary 6","Tapirus pinchaque","7/14/2016","5:35:28"
"Tabaconas Namballe National Sanctuary 6","Tapirus pinchaque","7/22/2016","2:08:45"
"Tabaconas Namballe National Sanctuary 6","Tapirus pinchaque","8/6/2016","17:55:15"
"Tabaconas Namballe National Sanctuary 6","Tapirus pinchaque","8/9/2016","10:33:16"
"Tabaconas Namballe National Sanctuary 6","Tapirus pinchaque","8/11/2016","11:59:02"
"Tabaconas Namballe National Sanctuary 6","Tapirus pinchaque","8/12/2016","19:35:35"
"Tabaconas Namballe National Sanctuary 6","Tapirus pinchaque","8/15/2016","10:08:10"
"Tabaconas Namballe National Sanctuary 7","Tapirus pinchaque","6/28/2016","4:02:21"
"Tabaconas Namballe National Sanctuary 7","Tapirus pinchaque","8/11/2016","5:38:13"
"Tabaconas Namballe National Sanctuary 8","Tapirus pinchaque","6/28/2016","3:39:58"
"Tabaconas Namballe National Sanctuary 8","Tapirus pinchaque","8/11/2016","5:38:32"
"Tabaconas Namballe National Sanctuary 8","Tapirus pinchaque","8/17/2016","22:17:49"
"Tabaconas Namballe National Sanctuary 9","Tapirus pinchaque","6/28/2016","3:13:16"
"Tabaconas Namballe National Sanctuary 9","Tapirus pinchaque","8/11/2016","5:12:35"
"Tabaconas Namballe National Sanctuary 9","Tapirus pinchaque","9/19/2016","18:29:15"
"Tabaconas Namballe National Sanctuary 12","Tapirus pinchaque","6/26/2016","16:14:44"
"Tabaconas Namballe National Sanctuary 12","Tapirus pinchaque","8/6/2016","21:29:33"
"Tabaconas Namballe National Sanctuary 12","Tapirus pinchaque","9/10/2016","14:29:29"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","6/10/2016","19:42:48"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","7/3/2016","23:41:46"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","7/5/2016","0:56:06"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","7/23/2016","20:49:03"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","7/25/2016","1:03:06"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","8/6/2016","19:50:53"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","8/15/2016","21:14:40"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","8/28/2016","3:29:47"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","9/8/2016","8:25:36"
"Tabaconas Namballe National Sanctuary 14","Tapirus pinchaque","9/9/2016","22:57:27"
"Tabaconas Namballe National Sanctuary 19","Tapirus pinchaque","6/20/2016","17:47:39"
"Tabaconas Namballe National Sanctuary 19","Tapirus pinchaque","7/5/2016","10:20:40"
"Tabaconas Namballe National Sanctuary 19","Tapirus pinchaque","7/14/2016","18:52:40"
"Tabaconas Namballe National Sanctuary 20","Tapirus pinchaque","7/5/2016","15:59:43"
"Tabaconas Namballe National Sanctuary 22","Tapirus pinchaque","6/23/2016","17:41:36"
"Tabaconas Namballe National Sanctuary 24","Tapirus pinchaque","6/19/2016","19:53:45"
"Tabaconas Namballe National Sanctuary 26","Tapirus pinchaque","7/25/2016","16:43:55"
"Tabaconas Namballe National Sanctuary 28","Tapirus pinchaque","6/20/2016","4:47:54"
"Tabaconas Namballe National Sanctuary 28","Tapirus pinchaque","7/1/2016","16:40:31"
"Tabaconas Namballe National Sanctuary 28","Tapirus pinchaque","7/8/2016","4:15:26"
"Tabaconas Namballe National Sanctuary 28","Tapirus pinchaque","8/27/2016","7:12:43"
"Tabaconas Namballe National Sanctuary 29","Tapirus pinchaque","7/4/2016","2:16:59"
"Tabaconas Namballe National Sanctuary 32","Tapirus pinchaque","8/14/2016","18:26:46"
"Tabaconas Namballe National Sanctuary 32","Tapirus pinchaque","9/24/2016","18:05:31"
"Tabaconas Namballe National Sanctuary 34","Tapirus pinchaque","7/3/2016","7:36:43"
"Tabaconas Namballe National Sanctuary 34","Tapirus pinchaque","7/4/2016","21:34:52"
"Tabaconas Namballe National Sanctuary 34","Tapirus pinchaque","7/16/2016","16:48:53"
"Tabaconas Namballe National Sanctuary 34","Tapirus pinchaque","7/27/2016","19:20:34"
"Tabaconas Namballe National Sanctuary 34","Tapirus pinchaque","9/4/2016","18:15:23"
"Tabaconas Namballe National Sanctuary 35","Tapirus pinchaque","6/13/2016","22:07:04"
"Tabaconas Namballe National Sanctuary 35","Tapirus pinchaque","7/1/2016","1:05:03"
"Tabaconas Namballe National Sanctuary 37","Tapirus pinchaque","6/25/2016","20:23:34"
"Tabaconas Namballe National Sanctuary 37","Tapirus pinchaque","7/3/2016","14:05:37"
"Tabaconas Namballe National Sanctuary 37","Tapirus pinchaque","7/12/2016","7:55:12"
"Tabaconas Namballe National Sanctuary 37","Tapirus pinchaque","7/15/2016","17:44:46"
"Tabaconas Namballe National Sanctuary 37","Tapirus pinchaque","8/3/2016","22:16:18"
"Tabaconas Namballe National Sanctuary 37","Tapirus pinchaque","9/9/2016","20:29:43"
"Tabaconas Namballe National Sanctuary 37","Tapirus pinchaque","9/14/2016","18:29:51"
"Tabaconas Namballe National Sanctuary 37","Tapirus pinchaque","9/24/2016","18:52:49"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","6/22/2016","2:52:25"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","6/29/2016","4:19:28"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","7/3/2016","13:31:19"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","8/14/2016","16:44:56"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","8/17/2016","7:42:40"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","8/19/2016","1:34:52"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","9/28/2016","8:55:01"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","10/1/2016","4:10:27"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","6/14/2016","3:27:18"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","6/19/2016","23:52:05"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","6/23/2016","19:40:53"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","8/13/2016","21:22:38"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/6/2016","22:00:32"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/8/2016","2:56:26"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/20/2016","21:15:15"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/25/2016","21:31:10"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/30/2016","23:38:48"
"Tabaconas Namballe National Sanctuary 43","Tapirus pinchaque","7/10/2016","22:55:02"
"Tabaconas Namballe National Sanctuary 43","Tapirus pinchaque","9/13/2016","19:43:46"
"Tabaconas Namballe National Sanctuary 48","Tapirus pinchaque","7/18/2016","18:05:56"
"Tabaconas Namballe National Sanctuary 48","Tapirus pinchaque","8/10/2016","6:25:06"
"Tabaconas Namballe National Sanctuary 48","Tapirus pinchaque","9/7/2016","13:19:58"
"Tabaconas Namballe National Sanctuary 48","Tapirus pinchaque","9/22/2016","18:08:50"
"Tabaconas Namballe National Sanctuary 49","Tapirus pinchaque","9/17/2016","6:47:07"
"Tabaconas Namballe National Sanctuary 53","Tapirus pinchaque","8/11/2016","1:06:35"
"Tabaconas Namballe National Sanctuary 53","Tapirus pinchaque","8/17/2016","6:20:40"
"Tabaconas Namballe National Sanctuary 53","Tapirus pinchaque","9/3/2016","11:42:08"
"Tabaconas Namballe National Sanctuary 53","Tapirus pinchaque","9/23/2016","2:40:28"
"Tabaconas Namballe National Sanctuary 79","Tapirus pinchaque","9/7/2016","15:58:23"
"Tabaconas Namballe National Sanctuary 87","Tapirus pinchaque","6/15/2016","18:38:35"
"Tabaconas Namballe National Sanctuary 87","Tapirus pinchaque","9/4/2016","1:07:25"
